ID ;SX ;VG ;VE ;VF ;idPai ;iidMae ;Geracao 
1;2;-1.829;-1.499;-3.328;0;0;1.000
2;2;-16.302;0.175 ;-16.128;0;0;1.000
3;1;6.895;0.395 ;7.290;0;0;1.000
4;1;2.837;-2.370;0.467 ;0;0;1.000
5;2;0.504 ;-0.636 ;-0.132 ;0;0;1.000
6;1;-7.900;-0.171 ;-8.071;0;0;1.000
7;1;6.938;0.094 ;7.032;0;0;1.000
8;1;3.010;1.204;4.215;0;0;1.000
9;1;19.648;0.175 ;19.823;0;0;1.000
10;1;15.031;0.274 ;15.306;0;0;1.000
11;2;-1.918;1.317;-0.601 ;0;0;1.000
12;2;-5.052;0.681 ;-4.371;0;0;1.000
13;2;-2.075;0.860 ;-1.215;0;0;1.000
14;2;1.231;0.294 ;1.525;0;0;1.000
15;2;-14.038;-0.792 ;-14.829;0;0;1.000
16;2;-40.085;-0.922 ;-41.008;0;0;1.000
17;2;0.111 ;-2.004;-1.893;0;0;1.000
18;1;-10.777;0.180 ;-10.597;0;0;1.000
19;2;-13.419;-2.418;-15.838;0;0;1.000
20;1;-0.197 ;0.015 ;-0.183 ;0;0;1.000
21;1;8.001;-1.499;6.502;10;14;2.000
22;2;4.500;0.175 ;4.675;3;5;2.000
23;1;2.548;0.458 ;3.006;3;11;2.000
24;1;6.327;0.189 ;6.516;10;13;2.000
25;2;3.722;0.044 ;3.766;7;17;2.000
26;1;1.348;-0.664 ;0.683 ;3;1;2.000
27;1;4.671;1.731;6.403;10;12;2.000
28;1;-5.599;-0.765 ;-6.364;8;15;2.000
29;2;-2.911;0.094 ;-2.817;3;19;2.000
30;1;1.745;1.204;2.950;9;2;2.000
31;2;3.655;1.681;5.336;23;22;3.000
32;2;3.851;-0.702 ;3.149;27;25;3.000
33;1;1.977;-0.863 ;1.114;23;14;2.500
34;2;4.390;1.186;5.576;21;5;2.500
35;1;0.974 ;0.943 ;1.916;23;11;2.500
36;1;1.639;0.828 ;2.467;27;13;2.500
37;2;2.096;0.860 ;2.957;27;17;2.500
38;2;0.985 ;0.294 ;1.279;27;29;3.000
39;2;0.126 ;-0.132 ;-0.006 ;23;1;2.500
40;1;-2.488;1.577;-0.911 ;30;12;2.500
41;2;2.618;-1.047;1.571;36;34;3.500
42;1;4.530;-0.442 ;4.088;24;31;3.500
43;1;3.716;0.010 ;3.727;33;22;3.250
44;1;5.008;0.920 ;5.928;24;25;3.000
45;1;-0.321 ;-0.004 ;-0.325 ;40;32;3.750
46;2;1.958;0.329 ;2.286;36;37;3.500
47;2;3.568;-2.418;1.149;24;14;2.500
48;1;3.535;0.015 ;3.550;24;38;3.500
49;2;1.101;-2.366;-1.264;36;39;3.500
50;1;-0.585 ;1.979;1.394;33;29;3.250
51;2;2.418;-0.100 ;2.318;45;34;4.125
52;1;2.038;0.087 ;2.126;45;31;4.375
53;1;3.949;0.901 ;4.850;43;32;4.125
54;1;3.376;0.945 ;4.320;43;37;3.875
55;1;2.458;0.195 ;2.653;43;46;4.375
56;2;0.627 ;-2.188;-1.562;45;41;4.625
57;2;2.910;1.144;4.054;43;38;4.125
58;1;3.699;-0.295 ;3.404;48;47;4.000
59;1;-0.520 ;-1.986;-2.505;50;39;3.875
60;2;-0.401 ;2.309;1.908;45;49;4.625
